ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 00:00;134.96;11.54;108.01;69.65;136.11;25.24;0;76.92;0;94.56;-12.11;-77.05;1007.49;17.93
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 01:00;101.97;9.01;103.15;74.64;84.81;20.36;0;81.08;0;94.96;-12.11;-77.05;1007.07;17.79
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 02:00;83.84;7.33;101.14;75.85;96.91;20.93;0;71.63;0;95.61;-12.11;-77.05;1006.48;17.83
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 03:00;85.9;7.48;97.46;75.54;95.85;22.4;0;75.59;0;94.27;-12.11;-77.05;1005.9;17.97
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 04:00;106.05;7.66;100.95;72.53;112;29.36;0;75.85;0;93.96;-12.11;-77.05;1005.8;17.91
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 05:00;137.81;8.94;106.57;68.27;141.18;38.05;0;78.63;0;94.3;-12.11;-77.05;1005.96;17.83
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 06:00;180.64;11.03;113.9;59.27;155.13;53.68;0;83.93;0;94.34;-12.11;-77.05;1006.4;17.83
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 07:00;247.24;10.79;112.1;59.03;66.14;35.05;0;90.2;0.27;93.54;-12.11;-77.05;1007.23;18.12
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 08:00;243.56;6.37;89.42;70.38;36.47;16.13;0;94.59;1.46;90.25;-12.11;-77.05;1007.62;19.13
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 09:00;209.58;9.29;63.93;84.96;29.58;10.1;0;97.11;1.69;88.02;-12.11;-77.05;1008.25;19.55
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 10:00;150.9;8.6;76.61;80;32.07;10.46;0;97.99;1.29;90.05;-12.11;-77.05;1008.46;18.95
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 11:00;111.28;8.89;75.01;80.94;29.01;10.33;0;97.12;1.8;89.32;-12.11;-77.05;1007.98;19.27
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 12:00;151.16;15.01;68.06;82.72;40.88;15.36;0;98.07;1.95;86.58;-12.11;-77.05;1007.4;19.99
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 13:00;82.1;12.18;64.84;93.15;35.57;12.88;0;96.03;1.98;88.82;-12.11;-77.05;1006.82;19.4
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 14:00;115.78;14.3;80.09;82.74;25.29;9.68;0;96.79;1.7;88.45;-12.11;-77.05;1006.16;19.64
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 15:00;85.71;18.22;74.62;87.75;30.72;12.25;0;96.62;1.56;89.88;-12.11;-77.05;1005.33;19.1
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 16:00;165.84;22.89;104.77;75.27;30.97;10.85;0;97.68;0.69;92.08;-12.11;-77.05;1004.76;18.47
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 17:00;181.74;25.35;114.4;74.56;32.4;11.86;0;96.27;0.55;94.22;-12.11;-77.05;1004.69;17.92
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 18:00;264.08;28.77;119.82;71.42;48.77;15.33;0;97.57;0.15;94.8;-12.11;-77.05;1005.15;18.01
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 19:00;279.14;27.13;126.23;66.13;74.27;19.11;0;97.92;0;96.32;-12.11;-77.05;1005.79;17.53
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 20:00;373.34;26.83;133.67;56.42;85.05;21.95;0;94.7;0;96.76;-12.11;-77.05;1006.29;17.66
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 21:00;357.15;23.33;132.56;56.49;124.24;29.38;0;90;0;95.27;-12.11;-77.05;1006.56;18.08
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 22:00;308.64;18.58;124.18;62.29;122.99;26.96;0;88.43;0;94.79;-12.11;-77.05;1006.55;18.05
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 23:00;235.36;14.17;115.41;68.22;91.1;23.06;0;88.49;0;94.71;-12.11;-77.05;1006.41;17.96
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/12/2020 00:00;131.65;9.56;107.45;75.06;85.35;20.63;0;83.38;0;94.99;-12.11;-77.05;1006.02;17.72
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/12/2020 01:00;88.37;8.06;102.55;76.28;100.24;23.92;0;80.97;0;95.3;-12.11;-77.05;1005.24;17.69
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/12/2020 02:00;70.05;7.25;98.04;76.77;98.23;24.72;0;74.99;0;95.6;-12.11;-77.05;1004.68;17.66
28;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/12/2020 03:00;68.25;6.39;97.74;75.91;101.93;25.5;0;70.3;0;96.01;-12.11;-77.05;1004.29;17.51
29;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/12/2020 04:00;51.67;6.19;95.17;77.38;67.12;20.58;0;70.36;0;96.74;-12.11;-77.05;1004.49;17.27
30;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/12/2020 05:00;52.94;6.17;96.29;78.59;67.93;18.2;0;70.92;0;97.94;-12.11;-77.05;1004.96;16.99
