ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 00:00;750.11;6.54;25.64;0.2;2.07;1.39;24.52;99.17;0;89.88;-12.07;-77.08;1004.55;19.12
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 01:00;521.88;0.66;24.27;0.22;2.03;1.2;21.61;90.45;0;91.54;-12.07;-77.08;1004.14;18.72
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 02:00;465.9;0.21;23.26;0;1.82;1.24;22.87;96.48;0;91.45;-12.07;-77.08;1003.54;18.77
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 03:00;457.58;0.52;23.81;0;2.63;2.14;22.33;101.77;0;90.45;-12.07;-77.08;1002.89;18.81
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 04:00;574.36;3.02;25.38;0;6.22;5.2;22.99;104.81;0;90.62;-12.07;-77.08;1002.8;18.8
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 05:00;763.52;8.35;28.37;0;10.84;9.51;25.39;104.39;0;91.4;-12.07;-77.08;1002.98;18.69
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 06:00;765.34;9.19;28.01;0;10.4;9.13;26.68;98.75;0;91.7;-12.07;-77.08;1003.44;18.65
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 07:00;958.37;20.65;27.51;0;10.38;9.11;31.06;108.31;0.2;90.97;-12.07;-77.08;1004.25;18.88
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 08:00;813.49;17.54;23;0.13;5.05;4.41;30.21;111.18;0.5;89.06;-12.07;-77.08;1004.63;19.12
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 09:00;870.88;14.41;21.52;0;1.72;1.39;31.68;116.83;0.77;89.32;-12.07;-77.08;1005.3;19.22
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 10:00;895.7;15.77;21.5;0.11;1.18;0.84;32.77;115.53;0.99;89.76;-12.07;-77.08;1005.53;19.15
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 11:00;1068.94;21.78;18.44;0.07;0.93;0.69;36.25;112.49;1.38;87.77;-12.07;-77.08;1005;19.74
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 12:00;1215.18;22.89;18.32;1.32;0.97;0.74;35.64;113.69;1.56;86.05;-12.07;-77.08;1004.45;20.29
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 13:00;1173.39;20.58;17.72;6.4;0.72;0.56;31.98;115.86;1.95;87.53;-12.07;-77.08;1003.83;19.94
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 14:00;1322.94;18.83;20.01;4.69;0.84;0.62;33.29;113.85;2.44;88.49;-12.07;-77.08;1003.17;19.73
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 15:00;1037.88;21.58;16.45;6.04;1.09;0.87;32.46;114.08;2.65;87.33;-12.07;-77.08;1002.31;20.16
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 16:00;1219.61;13.77;25.73;16.11;1.24;0.92;28.18;113.24;0.96;91.59;-12.07;-77.08;1001.79;19.04
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 17:00;1350.71;20.98;27.69;10.09;1.37;1.03;29.44;112.42;0.61;92.86;-12.07;-77.08;1001.74;18.77
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 18:00;1280.76;18.24;30.27;14.49;1.88;1.49;26.57;114.47;0.18;93.93;-12.07;-77.08;1002.18;18.6
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/12/2020 19:00;1264.3;17.98;30.07;2.64;1.84;1.43;28.4;114.91;0;93.94;-12.07;-77.08;1002.83;18.44
