ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 00:00;156.03;0;114.27;57.43;56.79;13.89;0;87.02;0;93.07;12.10972;77.05194;1006.82;20.21
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 01:00;92.66;0;109.55;58.17;63.62;18.01;0;87.49;0;94.38;12.10972;77.05194;1006.62;20.22
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 02:00;83.91;0;105.47;56.37;54.57;13.83;0;80.37;0;94.63;12.10972;77.05194;1006.21;20.32
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 03:00;88.12;0;101.8;55.56;44.4;11.63;0;74.89;0;93.76;12.10972;77.05194;1005.59;20.36
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 04:00;65.2;0;101.61;57.18;72.31;14.01;0;74.35;0;94.53;12.10972;77.05194;1005.27;20.07
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 05:00;62.23;0;102.16;58.81;98.69;17.85;0;75.04;0;95.91;12.10972;77.05194;1005.32;19.73
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 06:00;84.15;0;102.32;56.35;63.55;13.97;0;77.41;0;95.73;12.10972;77.05194;1005.74;19.88
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 07:00;109.7;0;100.34;56.44;57.11;13.24;0;82.48;0.16;94.85;12.10972;77.05194;1006.39;19.93
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 08:00;163.42;0;93.47;59.51;59.3;15.08;0;84.91;0.56;93.87;12.10972;77.05194;1006.87;20.35
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 09:00;40.25;0;71.23;70.55;51.36;13.81;0;82.38;0.99;91.78;12.10972;77.05194;1007.23;20.52
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 10:00;34.48;0;48.38;76.19;37.81;10.25;0;82.52;1.92;87.13;12.10972;77.05194;1007.39;21.79
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 11:00;63.03;0;16.65;89.52;26.12;7.25;0;83.17;2.37;80.23;12.10972;77.05194;1007.1;23.43
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 12:00;34.12;0;13.78;85.93;13.93;4.79;0;85.04;3.03;76.65;12.10972;77.05194;1006.72;24.2
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 13:00;21.85;0;21.9;101.13;8.75;3.73;0;88.42;2.51;78.95;12.10972;77.05194;1006.22;23.37
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 14:00;59.72;0;50.38;80.1;10.63;4.38;0;88.11;1.41;80.65;12.10972;77.05194;1005.7;23.17
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 15:00;60.11;0;55.13;78.56;11.95;4.57;0;87.43;1.12;80.76;12.10972;77.05194;1005.32;23.1
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 16:00;74.6;0;57.29;68.6;12.46;4.65;0;87.5;0.92;78.64;12.10972;77.05194;1005.14;23.74
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 17:00;118.38;0;82.65;48.53;21.89;6.11;0;91.78;0.75;75.43;12.10972;77.05194;1005.26;24.26
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 18:00;137.41;0;116.11;53.89;39.55;8.63;0;86.97;0.16;87.43;12.10972;77.05194;1005.69;20.92
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 19:00;145.44;0;135.38;46.57;51.49;10.21;0;93.8;0.01;89.92;12.10972;77.05194;1006.33;20.44
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 20:00;160.63;0;133.58;47.41;52.49;10.53;0;96.85;0;91.41;12.10972;77.05194;1006.75;20.19
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 21:00;191.97;0;123.41;44.42;36.63;8.38;0;92.08;0;88.72;12.10972;77.05194;1007.28;21.03
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 22:00;195.12;0;117.08;47.4;33.17;8.3;0;90.43;0;88.73;12.10972;77.05194;1007.46;21.1
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 23:00;136.03;0;112;51.73;53.18;10.89;0;88.97;0;90.51;12.10972;77.05194;1007.61;20.83
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 00:00;89.68;0;109.11;55.95;74.8;13.33;0;83.01;0;92.22;12.10972;77.05194;1007.52;20.31
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 01:00;81.75;0;110.45;54.39;70.01;13.24;0;73.92;0;93.64;12.10972;77.05194;1006.82;19.98
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 02:00;63.85;0;106.53;57.16;92.95;16.14;0;72.32;0;95.12;12.10972;77.05194;1006.16;19.6
