ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 00:00;705.46;7.31;25.03;0.01;1.39;1.05;28.47;108.33;0;88.9;-12.07274;-77.08269;1003.88;21.3
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 01:00;487.09;3.43;24.65;0;2.56;2.19;29;110.66;0;91.07;-12.07274;-77.08269;1003.65;21.28
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 02:00;411.46;2.25;23.38;0;1.55;1.22;29.26;106.55;0;91.32;-12.07274;-77.08269;1003.29;21.24
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 03:00;348.66;1.83;22.87;0;0.77;0.59;28.68;101.99;0;91.45;-12.07274;-77.08269;1002.72;21.18
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 04:00;300.17;0.76;22.86;0;0.78;0.6;28.13;107.14;0;92.35;-12.07274;-77.08269;1002.35;20.91
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 05:00;352.93;2.11;23.08;0;1.2;0.92;28.39;100.63;0;93.46;-12.07274;-77.08269;1002.37;20.75
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 06:00;314.23;2.56;22.89;0;1.04;0.74;28.46;97.67;0;92.91;-12.07274;-77.08269;1002.83;20.78
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 07:00;447.03;6.94;22.99;0;0.93;0.68;30.76;98.67;0.15;91.85;-12.07274;-77.08269;1003.43;21
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 08:00;481.62;10.3;21.65;0;1.04;0.78;32.57;96.54;0.42;90.57;-12.07274;-77.08269;1003.94;21.34
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 09:00;389.08;7.6;19.2;0;1.04;0.75;32.52;102.64;0.73;88.53;-12.07274;-77.08269;1004.3;21.73
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 10:00;390.23;6.86;16.32;0;0.79;0.56;33.99;105.78;1.18;85.94;-12.07274;-77.08269;1004.45;22.25
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 11:00;358.24;5.88;14.47;0;0.66;0.45;31.76;113.81;1.48;83.4;-12.07274;-77.08269;1004.17;22.68
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 12:00;327.39;2.85;15.21;0;0.59;0.44;30.57;111.88;1.75;84.66;-12.07274;-77.08269;1003.81;22.29
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 13:00;412.24;5.03;14.57;0.03;0.43;0.32;32.85;116.11;3.63;83.16;-12.07274;-77.08269;1003.3;22.74
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 14:00;435.96;7.61;13.26;0.89;0.32;0.26;33.63;117.7;4.83;83.95;-12.07274;-77.08269;1002.82;22.62
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 15:00;441.03;7.5;16.19;2.11;0.4;0.33;32.43;120.74;4.33;84.99;-12.07274;-77.08269;1002.45;22.31
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 16:00;531.02;8.95;17.57;2.83;0.47;0.35;33.14;118.7;3.28;83.83;-12.07274;-77.08269;1002.27;22.46
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 17:00;519.35;13.55;14.37;2.54;0.53;0.38;32.72;117.34;2.41;81.18;-12.07274;-77.08269;1002.34;23.05
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 18:00;806.83;5.99;26.68;8.46;0.62;0.43;27.73;112.24;0.22;83.83;-12.07274;-77.08269;1002.78;22.32
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 19:00;681.93;9.24;28;0.3;0.55;0.39;29.76;117.5;0.04;85.86;-12.07274;-77.08269;1003.39;21.72
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 20:00;648.49;9.8;28.09;0;0.86;0.54;29.79;118.37;0;87;-12.07274;-77.08269;1003.78;21.54
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 21:00;630.85;13.85;26.1;0;0.7;0.43;31.18;118.8;0;86.04;-12.07274;-77.08269;1004.33;21.86
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 22:00;549.89;10.65;25.2;0;0.63;0.43;30.52;117.66;0;87.02;-12.07274;-77.08269;1004.5;21.8
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/01/2021 23:00;384.05;6.1;24.6;0;0.58;0.38;28.84;115.39;0;88.37;-12.07274;-77.08269;1004.69;21.66
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 00:00;347.34;5.67;23.96;0;0.53;0.32;28.35;110.96;0;89.09;-12.07274;-77.08269;1004.6;21.45
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 01:00;244.44;3.31;23.63;0;0.57;0.37;28.05;102.82;0;90.02;-12.07274;-77.08269;1003.91;21.26
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 02:00;230.57;3.29;23.63;0;0.92;0.5;28.3;90.86;0;91.62;-12.07274;-77.08269;1003.23;20.96
28;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 03:00;185.76;2.21;23.53;0;1.01;0.55;28.09;85.52;0;92.81;-12.07274;-77.08269;1002.93;20.66
29;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 04:00;139.61;1.09;23.57;0;1.27;0.67;27.57;77.18;0;94.59;-12.07274;-77.08269;1002.78;20.25
30;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 05:00;145.19;2.04;23.81;0;1.36;0.7;28.16;78.43;0;95.62;-12.07274;-77.08269;1002.87;19.97
31;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 06:00;261.2;6.46;24.42;0;1.09;0.71;30.02;100.95;0;95.48;-12.07274;-77.08269;1003.31;20.05
32;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 07:00;372.28;9.28;25.22;0;0.98;0.54;30.74;103.47;0.09;97.03;-12.07274;-77.08269;1003.91;19.75
33;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 08:00;542.62;14.78;25.38;0;1.14;0.59;32.61;107.49;0.18;97.24;-12.07274;-77.08269;1004.35;19.87
34;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 09:00;798.95;23.32;24.68;0.27;1.83;1.37;39.24;105.16;0.57;96.09;-12.07274;-77.08269;1004.48;20.46
35;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/01/2021 10:00;935.16;34.28;17.3;0;1.5;0.99;43.41;109.61;1.18;85.98;-12.07274;-77.08269;1004.18;22.6
