ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 00:00;814.22;9.12;28.18;0.12;6.47;3.72;21.8;98.98;0;94.33;-12.07274;-77.08269;1006.3;16.56
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 01:00;376.18;0.42;24.7;0.73;4;1.97;19.44;94.89;0;93.74;-12.07274;-77.08269;1005.78;16.46
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 02:00;286.99;0.06;24.75;1.37;3.94;1.78;18.65;82.6;0;95.17;-12.07274;-77.08269;1005.51;16.33
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 03:00;267.23;0.08;24.66;1.27;3.48;1.55;18.21;76.74;0;95.62;-12.07274;-77.08269;1005.12;16.32
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 04:00;369.46;1.83;25.62;3.36;3.49;1.6;18.46;82.3;0;96.79;-12.07274;-77.08269;1005.07;16.25
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 05:00;325.35;0.06;25.7;0.71;2.85;1.44;18.25;80.9;0;97.35;-12.07274;-77.08269;1005.36;16.25
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 06:00;315.34;0.1;25.16;0.13;2.63;1.4;18.65;95.02;0;97.15;-12.07274;-77.08269;1005.77;16.27
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 07:00;370.85;2.35;25.22;0.09;0.77;0.5;20.59;96.27;0.14;94.57;-12.07274;-77.08269;1006.17;16.55
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 08:00;439.25;3.59;24.65;0;2.7;1.31;21.76;100.66;0.45;92.84;-12.07274;-77.08269;1006.66;16.99
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 09:00;373;3.83;20.59;1.31;1.75;0.8;20.47;98.4;0.66;87.77;-12.07274;-77.08269;1007.16;17.6
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 10:00;368.66;0.51;22.66;8.73;1.06;0.54;18.21;107.16;0.81;91.08;-12.07274;-77.08269;1007.24;17.11
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 11:00;368.82;0.97;22.6;3.85;1.01;0.42;19.86;104.28;1.01;90.12;-12.07274;-77.08269;1006.89;17.33
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 12:00;441.65;4.32;20.17;0.78;0.92;0.41;22.68;107.33;1.46;86.69;-12.07274;-77.08269;1006.34;18.09
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 13:00;445.46;4.55;17.86;1.64;0.58;0.35;23.42;113.27;2.43;88.19;-12.07274;-77.08269;1005.52;18.15
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 14:00;591.87;7.44;15.39;1.02;0.63;0.43;25.88;115.85;3.65;85.05;-12.07274;-77.08269;1004.61;18.74
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 15:00;527.02;7.74;16.37;11.1;0.74;0.53;21.92;119;2.66;81.3;-12.07274;-77.08269;1004.12;18.83
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 16:00;591.32;1.87;25.4;23.93;1.13;0.69;18.88;116.81;1;86.09;-12.07274;-77.08269;1004.02;18.07
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 17:00;782.97;7.5;27.72;23.72;1.37;0.84;20.09;111.07;0.42;89.39;-12.07274;-77.08269;1003.99;17.62
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/11/2020 18:00;780.27;9.93;29.27;24.4;1.73;1.01;20.02;109.76;0.11;91.35;-12.07274;-77.08269;1004.22;17.24
