Fecha;Hora;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1/08/2020;00:00:00;0;0;97.9;0;28.18;12.01;7.22;73.59;0;91.36;-12.10972;-77.05194;100835.56;14.91
1/08/2020;01:00:00;0;0;99.85;0;31.36;14.86;7.24;77.91;0;91.74;-12.10972;-77.05194;100862.39;14.87
1/08/2020;02:00:00;0;0;96.03;0;34.49;14.29;7.23;76.71;0;91.33;-12.10972;-77.05194;100826.87;14.82
1/08/2020;03:00:00;0;0;94.6;0;37.64;14.73;7.23;75.31;0;90.81;-12.10972;-77.05194;100774.97;14.82
1/08/2020;04:00:00;0;0;92.2;0;30.7;13.62;7.23;77.21;0;90.97;-12.10972;-77.05194;100779.31;14.76
1/08/2020;05:00:00;0;0;94.12;0;35.54;14.87;7.24;77.81;0;91.38;-12.10972;-77.05194;100827.69;14.7
1/08/2020;06:00:00;0;0;93.99;0;42.05;16.16;7.23;93.36;0;92.17;-12.10972;-77.05194;100873.25;14.56
1/08/2020;07:00:00;0;0;106.12;0;44.58;15.96;7.25;93.94;0;93;-12.10972;-77.05194;100917.64;14.5
1/08/2020;08:00:00;0;0;101.83;0;38.47;13.29;7.25;98.93;0.03;93.18;-12.10972;-77.05194;100952.16;14.58
1/08/2020;09:00:00;93.89;0;99.05;0;38.74;11.79;7.34;100.36;0.24;91.48;-12.10972;-77.05194;101002.26;15.06
1/08/2020;10:00:00;0;0;84.82;0;32.18;10.47;7.33;97.23;0.58;88.44;-12.10972;-77.05194;101016.45;15.59
1/08/2020;11:00:00;0;0;63.57;0;17.65;6.77;7.7;97.86;1.52;85.01;-12.10972;-77.05194;100972.06;16.42
1/08/2020;12:00:00;0;0;14.42;0.68;11.64;5.11;8.24;102.56;4.26;81.07;-12.10972;-77.05194;100887.06;17.23
