ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;Presion (hPa);Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 00:00;303.68;0.64;25.82;14.05;2.97;1.68;16.65;105.96;0.00;93.22;-12.07;-77.08;100462.33;16.54
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 01:00;245.62;0.11;24.93;11.79;2.65;1.52;16.38;99.84;0.00;93.77;-12.07;-77.08;100409.92;16.41
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 02:00;231.88;0.29;24.92;11.27;3.34;1.85;16.44;91.64;0.00;94.52;-12.07;-77.08;100366.21;16.24
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 03:00;197.13;0.07;24.70;12.57;4.46;2.06;15.85;81.43;0.00;95.72;-12.07;-77.08;100310.77;16.07
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 04:00;160.02;0.13;24.86;13.47;5.57;2.52;15.82;82.47;0.00;96.85;-12.07;-77.08;100248.66;15.94
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 05:00;157.80;0.11;25.01;13.30;6.14;2.73;15.50;90.21;0.00;97.86;-12.07;-77.08;100249.65;15.84
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 06:00;244.56;2.37;26.39;14.82;5.95;2.87;16.63;99.20;0.00;98.28;-12.07;-77.08;100306.75;15.80
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 07:00;428.20;8.02;28.76;12.18;5.29;3.46;19.58;107.90;0.04;98.10;-12.07;-77.08;100369.95;15.84
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 08:00;841.02;17.48;28.95;7.58;5.15;3.67;25.21;106.98;0.27;96.42;-12.07;-77.08;100418.51;16.12
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 09:00;1154.13;26.56;26.34;1.24;4.43;3.15;28.73;106.37;0.63;92.06;-12.07;-77.08;100468.14;16.82
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 10:00;1176.41;28.01;22.97;2.58;3.43;2.39;27.37;111.78;0.67;87.47;-12.07;-77.08;100460.41;17.98
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 11:00;1067.28;18.54;22.95;5.21;2.13;1.44;27.09;115.64;0.88;87.90;-12.07;-77.08;100424.45;17.70
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 12:00;911.19;17.89;19.95;1.94;1.68;1.22;29.56;115.32;1.74;88.48;-12.07;-77.08;100395.10;17.65
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 13:00;964.64;15.37;18.94;4.79;1.53;1.16;26.81;120.32;3.32;85.97;-12.07;-77.08;100351.71;18.13
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 14:00;797.18;12.29;21.24;12.28;1.43;1.09;25.00;124.21;3.50;87.00;-12.07;-77.08;100286.61;17.79
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 15:00;1062.90;17.27;22.64;3.26;1.75;1.19;27.62;120.81;2.27;85.29;-12.07;-77.08;100218.83;18.30
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 16:00;973.19;16.10;22.51;10.43;1.81;1.09;22.88;120.64;1.32;83.23;-12.07;-77.08;100159.02;18.59
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 17:00;1093.72;11.10;28.79;26.53;1.84;1.12;20.66;121.82;0.31;87.87;-12.07;-77.08;100141.67;17.49
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 18:00;1212.79;17.21;30.25;22.82;2.01;1.28;21.45;120.08;0.08;89.08;-12.07;-77.08;100172.59;17.26
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 19:00;1189.58;17.84;30.67;18.44;2.62;1.55;22.12;118.99;0.00;90.44;-12.07;-77.08;100201.61;17.06
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 20:00;1110.62;16.93;29.72;11.08;2.66;1.69;22.35;117.37;0.00;91.06;-12.07;-77.08;100243.72;16.99
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 21:00;945.99;14.75;28.73;8.69;2.23;1.46;22.19;114.62;0.00;91.84;-12.07;-77.08;100323.87;16.88
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 22:00;805.68;12.45;28.76;11.65;2.78;1.63;21.09;108.67;0.00;93.37;-12.07;-77.08;100391.92;16.72
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/10/2020 23:00;662.62;8.90;27.80;5.37;3.79;2.46;20.11;103.13;0.00;93.93;-12.07;-77.08;100380.72;16.61
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 00:00;396.16;2.68;26.37;6.09;4.82;2.79;17.76;99.89;0.00;94.87;-12.07;-77.08;100325.44;16.51
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 01:00;233.42;0.18;25.54;16.12;4.89;2.40;15.84;103.04;0.00;96.36;-12.07;-77.08;100280.26;16.07
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 02:00;240.73;0.78;26.61;16.05;5.37;2.48;15.87;94.16;0.00;98.12;-12.07;-77.08;100224.28;15.67
28;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 03:00;148.42;0.16;25.90;15.85;3.99;2.01;15.36;92.86;0.00;98.91;-12.07;-77.08;100202.81;15.49
29;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 04:00;135.71;0.23;25.44;9.87;4.11;2.49;15.94;80.86;0.00;99.05;-12.07;-77.08;100205.28;15.44
30;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 05:00;229.07;1.49;25.66;1.60;5.93;3.99;17.58;89.13;0.00;98.92;-12.07;-77.08;100189.54;15.61
31;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 06:00;216.67;2.45;26.11;13.98;3.79;2.03;16.98;100.46;0.00;98.02;-12.07;-77.08;100202.77;15.51
32;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 07:00;859.83;21.26;30.56;10.34;3.81;2.04;24.71;106.23;0.12;96.66;-12.07;-77.08;100269.66;15.98
33;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 08:00;1211.72;26.44;28.05;7.35;3.15;1.83;27.89;108.39;0.26;95.32;-12.07;-77.08;100343.70;16.21
34;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 09:00;1062.17;22.34;27.50;5.26;2.16;1.42;26.44;107.49;0.42;95.23;-12.07;-77.08;100455.90;16.37
35;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 10:00;1271.85;27.25;25.32;3.08;2.70;1.99;28.71;109.03;0.70;93.66;-12.07;-77.08;100484.88;16.72
36;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 11:00;1436.72;28.60;25.11;6.19;2.39;1.47;29.33;108.86;0.74;92.59;-12.07;-77.08;100488.38;16.80
37;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 12:00;1573.97;30.97;22.80;1.12;2.15;1.46;35.31;111.89;1.35;89.60;-12.07;-77.08;100445.01;17.45
38;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 13:00;1946.07;43.11;19.53;0.55;1.87;1.39;36.15;110.48;1.71;85.23;-12.07;-77.08;100371.22;18.48
39;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 14:00;1375.22;21.13;20.89;5.81;1.98;1.42;30.35;113.47;1.84;87.72;-12.07;-77.08;100301.39;17.96
40;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 15:00;1276.53;27.92;18.80;7.00;1.78;1.31;31.16;115.07;2.30;87.09;-12.07;-77.08;100256.29;18.11
41;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 16:00;1211.66;8.54;26.68;29.21;2.24;1.38;20.33;118.56;0.81;91.40;-12.07;-77.08;100257.15;17.04
42;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 17:00;1681.40;26.39;30.18;20.91;3.24;1.70;25.89;113.63;0.27;89.53;-12.07;-77.08;100267.01;17.29
43;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 18:00;1961.59;33.74;31.70;17.67;3.62;2.00;27.24;109.36;0.05;89.73;-12.07;-77.08;100307.17;17.26
44;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 19:00;1513.96;23.77;29.86;12.86;4.41;2.05;25.31;108.36;0.00;93.29;-12.07;-77.08;100345.43;16.71
45;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 20:00;1670.07;27.62;31.23;10.90;5.04;2.63;26.25;106.19;0.00;93.07;-12.07;-77.08;100400.30;16.85
46;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 21:00;1477.68;22.64;30.57;8.71;4.65;3.33;25.41;111.86;0.00;92.26;-12.07;-77.08;100463.89;16.93
47;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 22:00;1279.02;18.88;30.32;10.98;6.07;4.95;23.06;108.20;0.00;92.05;-12.07;-77.08;100489.29;16.89
48;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/10/2020 23:00;1110.70;13.69;29.76;6.84;7.98;5.84;22.00;105.31;0.00;93.98;-12.07;-77.08;100455.44;16.72
