ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);Ruido (dB);UV;Humedad (%);Latitud;Longitud;"Presion 
(Pa)";Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 00:00;0;0;79.86;0;140.51;24.41;7.19;89.99;0;94.9;-12.10972;-77.05194;100978.2;15.06
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 01:00;0;0;82.17;0;127.35;24.15;7.2;78.93;0;95.34;-12.10972;-77.05194;100913.66;14.96
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 02:00;0;0;83.47;0;187.04;31.96;7.2;66.98;0;95.38;-12.10972;-77.05194;100836.54;14.92
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 03:00;0;0;80.04;0;168.39;30.6;7.19;77.83;0;95.67;-12.10972;-77.05194;100801.87;14.84
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 04:00;0;0;79.02;0;163.77;28.9;7.17;79.95;0;96.1;-12.10972;-77.05194;100800.24;14.67
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 05:00;0;0;84.14;0;150.08;29.31;7.19;75.37;0;96.46;-12.10972;-77.05194;100803.55;14.66
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 06:00;0;0;90.38;0;162.11;32.35;7.2;84.6;0;96.54;-12.10972;-77.05194;100840.88;14.79
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 07:00;0;0;97.38;0;178.7;26.12;7.19;105.9;0;98.42;-12.10972;-77.05194;100909.55;14.48
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 08:00;0;0;107.96;0;180.96;26.2;7.22;101.97;0.06;99.3;-12.10972;-77.05194;100956.48;14.26
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 09:00;4.14;0;103.56;0;197.64;33.2;7.28;98.89;0.28;99.3;-12.10972;-77.05194;100975.46;14.63
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 10:00;7.48;0;83.74;0;154.12;31.94;7.35;97.19;0.49;99.2;-12.10972;-77.05194;101022.72;15.31
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 11:00;0.47;0;70.24;0;142.51;30;7.43;101.25;0.67;96.59;-12.10972;-77.05194;101022.58;15.83
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 12:00;0;0;77.08;0;147.31;31.04;7.26;108.24;0.58;96.31;-12.10972;-77.05194;100958.34;15.41
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 13:00;0;0;72.07;0;137.79;29.07;7.47;104.81;0.97;94.01;-12.10972;-77.05194;100910.52;16.23
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 14:00;0;0;73.37;0;117.28;25.23;7.5;100;0.91;91.58;-12.10972;-77.05194;100843.26;16.48
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 15:00;0;0;78.49;0;132.16;28.07;7.33;109.29;0.67;92.7;-12.10972;-77.05194;100790.54;15.82
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 16:00;0;0;89.05;0;156.78;32.13;7.3;100.27;0.51;92.7;-12.10972;-77.05194;100768.66;15.96
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 17:00;0;0;96.38;0;149.07;29.57;7.23;102.57;0.19;92.57;-12.10972;-77.05194;100786.5;15.65
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 18:00;0;0;106.91;0;134.43;25.72;7.25;103.59;0.03;92.31;-12.10972;-77.05194;100822.56;15.46
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 19:00;0.16;0;112.07;0;123.56;24.47;7.28;99.88;0;92.12;-12.10972;-77.05194;100864.72;15.4
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 20:00;0;0;99.86;0;180.61;33.75;7.23;97.77;0;93;-12.10972;-77.05194;100905.67;15.16
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 21:00;0;0;93.88;0;197.5;38.38;7.17;92.66;0;94.95;-12.10972;-77.05194;100930.14;14.9
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 22:00;0;0;89.01;0;194.51;39.56;7.18;99.18;0;96.28;-12.10972;-77.05194;100914.41;14.89
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 23:00;0;0;83.46;0;186.51;39.41;7.14;71.19;0;97.07;-12.10972;-77.05194;100896.44;14.82
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 00:00;0;0;79.18;0;122.85;32.71;7.17;68.38;0;97.86;-12.10972;-77.05194;100868.55;14.87
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 01:00;0;0;77.22;0;156.06;39.29;7.15;64.88;0;97.92;-12.10972;-77.05194;100828.71;14.85
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 02:00;0;0;79.2;0;135.01;38.29;7.16;71.05;0;97.82;-12.10972;-77.05194;100798.81;14.75
28;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 03:00;0;0;75.12;0;136.06;34.25;7.17;72.58;0;97.58;-12.10972;-77.05194;100789.98;14.72
