ID;CODIGO DE LA ENTIDAD;CODIGO UBIGEO INEI;CODIGO PAIS ;NOMBRE DE LA UO;Fecha;CO (ug/m3);H2S (ug/m3);NO2 (ug/m3);O3 (ug/m3);PM10 (ug/m3);PM2.5 (ug/m3);SO2 (ug/m3);"Ruido
(dB)";UV;Humedad (%);Latitud;Longitud;Presion (Pa);Temperatura (C)
1;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 00:00;165.96;1.87;24.25;21.43;5.5;4.52;15.84;97.89;0;90.37;-12.07274;-77.08269;100660.66;15.33
2;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 01:00;160.43;1.8;24.14;18.04;5.78;4.58;15.26;88.97;0;91.18;-12.07274;-77.08269;100593.85;15.17
3;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 02:00;151.59;2.07;24.21;17.71;5.77;4.58;15.18;100.41;0;91.03;-12.07274;-77.08269;100516.34;15.13
4;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 03:00;176.24;1.94;23.75;18.65;5.8;4.2;15.11;93.57;0;91.1;-12.07274;-77.08269;100481.15;15.07
5;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 04:00;177.26;0.95;23.63;28.98;3.77;2.52;14.11;92.45;0;92.05;-12.07274;-77.08269;100479.55;14.84
6;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 05:00;117.13;1.29;24.4;22.71;4.29;2.86;14.25;100.42;0;92.25;-12.07274;-77.08269;100481.47;14.93
7;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 06:00;215.17;3.93;26.01;19.01;4.74;3.23;15.8;101.22;0;92.26;-12.07274;-77.08269;100518.08;15.06
8;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 07:00;348.45;5.81;28.56;41.86;3.51;1.94;14.97;111.96;0.02;96.04;-12.07274;-77.08269;100588.34;14.77
9;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 08:00;503.68;6.93;29.99;46.8;2.46;1.37;14.65;110.53;0.15;98.8;-12.07274;-77.08269;100632.53;14.43
10;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 09:00;767.72;13.34;29.92;34.89;2.75;1.5;17.74;108.53;0.36;95.97;-12.07274;-77.08269;100654.53;14.95
11;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 10:00;1035.76;19.13;29.25;25.26;3.91;1.91;20.96;109.73;0.54;91.36;-12.07274;-77.08269;100698.95;15.67
12;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 11:00;982.74;17.9;24.87;21.41;3.37;1.83;20.56;110.75;0.6;88.63;-12.07274;-77.08269;100697.32;16.09
13;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 12:00;1071.71;16.09;25.32;33.7;3.53;1.97;19.49;114.73;0.6;89.78;-12.07274;-77.08269;100635.79;15.92
14;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 13:00;1088.41;17.41;23.94;24.26;3.48;1.88;21.8;115.4;0.85;86.51;-12.07274;-77.08269;100592.3;16.41
15;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 14:00;961.04;15.34;23.09;29.43;3.59;1.96;19.03;116.64;0.83;84.72;-12.07274;-77.08269;100524.54;16.5
16;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 15:00;942.43;12.91;24.57;32.01;3.53;1.94;19.02;113.84;0.6;85.63;-12.07274;-77.08269;100473.24;16.28
17;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 16:00;1025.98;14.72;25.38;33.77;3.05;1.8;18.21;115.63;0.48;85.62;-12.07274;-77.08269;100448.21;16.33
18;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 17:00;1035.34;12.98;26.67;40.5;3.06;1.7;17.71;115.82;0.22;86.98;-12.07274;-77.08269;100466.3;16.01
19;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 18:00;1040.78;13.43;27.73;35.52;3.35;1.73;17.68;115.72;0.06;86.8;-12.07274;-77.08269;100501.71;15.86
20;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 19:00;1003.12;12.41;27.73;38.22;3.46;1.91;16.98;116.42;0;87.47;-12.07274;-77.08269;100545.22;15.64
21;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 20:00;1046.42;14.6;28.15;40.13;3.81;1.99;17.27;110.23;0;88.01;-12.07274;-77.08269;100585.01;15.56
22;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 21:00;1096.33;15.87;27.91;37.64;5.17;2.37;17.52;106.08;0;89.75;-12.07274;-77.08269;100608.46;15.41
23;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 22:00;987.84;15.3;27.3;28;6.76;2.86;18.88;101.91;0;90.52;-12.07274;-77.08269;100592.03;15.38
24;10069;150122;PE;Subgerencia de Desarrollo Ambiental;1/09/2020 23:00;299.21;2.86;23.95;25.79;7.36;3.21;15.05;83.79;0;92.68;-12.07274;-77.08269;100575.04;15.17
25;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 00:00;178.4;1.02;23.16;20.69;5.76;2.98;14.77;74.47;0;92.76;-12.07274;-77.08269;100545.41;15.22
26;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 01:00;104.33;0.23;22.64;28.32;5.67;2.73;13.22;74.62;0;94.11;-12.07274;-77.08269;100509.49;14.97
27;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 02:00;105.28;0.62;22.26;24.16;5.19;2.54;13.41;71.74;0;91.79;-12.07274;-77.08269;100478.01;14.99
28;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 03:00;57.05;0.06;22.82;32.72;5.95;2.65;12.17;77.29;0;93.97;-12.07274;-77.08269;100473.98;14.74
29;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 04:00;58.63;0.43;22.77;28.74;6.28;2.59;12.77;72.65;0;94.25;-12.07274;-77.08269;100490.32;14.63
30;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 05:00;32.06;0.1;23.57;27.52;6.16;2.61;12;73.52;0;96.4;-12.07274;-77.08269;100515.46;14.49
31;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 06:00;153.2;2.46;26.14;34.91;4.53;2.11;13;93.99;0;99.45;-12.07274;-77.08269;100532.7;14.25
32;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 07:00;498.54;11.15;30.55;45.49;4.01;1.92;16.15;105.29;0.02;99.6;-12.07274;-77.08269;100571.52;14.22
33;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 08:00;571.71;9.95;29.59;40.56;4.56;2.13;16.43;105.05;0.15;99.49;-12.07274;-77.08269;100591.84;14.25
34;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 09:00;914.47;16.22;29.09;35.55;6.39;2.6;19.62;106.18;0.37;97.79;-12.07274;-77.08269;100620.37;14.6
35;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 10:00;1370.4;26.2;28.83;25.29;7.59;2.88;25.04;109.99;0.64;94.5;-12.07274;-77.08269;100644.98;15.29
36;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 11:00;1537.09;34.32;23.1;7.88;8.58;2.99;30.71;107.63;0.95;85.47;-12.07274;-77.08269;100637.62;16.43
37;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 12:00;1154.7;21.05;20.72;15.27;7.84;2.79;23.96;109.28;0.93;84.43;-12.07274;-77.08269;100581.92;16.24
38;10069;150122;PE;Subgerencia de Desarrollo Ambiental;2/09/2020 13:00;896.14;11.79;22.01;24.07;6.13;2.36;20.96;110.68;0.92;87.47;-12.07274;-77.08269;100527.33;15.82
